SUPPLIERID,SUPPLIERNAME
328,"IMAGEFirst ULTIMATE HOLDINGS, LLC"
329,FRESENIUS MEDICAL CARE
330,JOHNSON AND JOHNSON HEALTHCARE
331,KOCH FILTER CORP
332,LUMINOUS NEON
333,MID AMERICAN KIDNEY STONE
334,NORTH COAST MEDICAL
335,OC TANNER SALES
336,PRIVATE EYES INC
337,PUR-O-ZONE
338,ROBERTS DAIRY
339,SECURITAS SYSTEMS
340,ST. JOHN COMPANIES
341,SURGICAL ADVANTAGE
342,SURGICAL SPECIALTIES CORP
343,WALTZ TETRICK ADVERTISING
344,AIRGAS CORP
345,STRYKER COMMUNICATIONS
346,STRYKER NEUROVASCULAR
347,Ezy Wrap
348,SURGICAL NOTES MDP LLP
349,PRECISION DYNAMICS
350,GE Healthcare IITS
351,SPECIALTY CARDIOVASCULAR RESOURCES
352,DATEX OHMEDA
353,MIZUHO OSI
354,STRYKER SUSTAINABILITY
355,HILAND DAIRY FOOD COMPANY LLC
356,CASING SCIENTIFIC
357,GE HEALTHCARE INC
358,MEDTRONIC MINIMED
359,OLYMPUS BIOTECH
360,CARDINAL HEALTH MEDICAL PRODUCTS AND SERVICES
361,WELLS LOC - NEBRASKA MEDICAL CENTER
362,WYETH PHARMACEUTICALS
363,AMERISOURCEBERGEN
364,BERCHTOLD CORP
365,DRAEGER MEDICAL
366,SYNERGETICS
367,"IATRIC SYSTEMS, INC."
368,BIORAD LABORATORIES
369,BIP SUPPLIER 1
370,BIP SUPPLIER 2
371,EDWARDS LIFESCIENCES
372,AMERICAN MEDICAL SYSTEMS
373,PHYSIO CONTROL
374,CARL ZEISS MEDITEC INC
375,KRONOS INCORPORATED
376,Arjo Inc.
377,LAWSON PRODUCTS
378,MIZUHO AMERICA INC
379,ARTHROCARE
380,PHONAK
381,THERACOM INC
382,GENZYME BIOSURGERY INC
384,LANDAUER
385,ANX eBusiness
430,1Staff Training & Development
431,21St Image
432,3M
433,AAA RENTS
434,AB Sciex LLC
435,"ACCREDO HEALTH GROUP, INC"
436,ADVANCED INSTRUMENTS INC
437,ADVISORY BOARD COMPANY
438,AKORN INC
439,AMBRY GENETICS INC
440,AMERICAN COLLEGE OF PHYS EXECS
441,AMERIDOSE
442,AMERIPRIDE SERVICES INC
443,"American Tel-A-Systems, Inc"
444,APPLIED BIOSYSTEMS
445,ASI SIGNAGE Innovations
446,ASSESSMENT TECHNOLOGIES INST
447,AUREUS NURSING LLC
448,Accredo Therapeutics Inc
449,Alimed Inc
450,All Makes Office Equipment Co
451,Arthur L Davis Agency
452,BIOTRONIC MIDWEST LLC
453,Balcon Air & Water Balancing
454,Barnhart Press
455,Bausch and Lomb INC
456,Baxa Corporation
457,Baxter
458,Bergman Incentives
459,Bibbero Systems Inc
460,Biodex Medical Systems Inc
461,Bioplastics/Cyclertest Inc
462,CAE Healthcare
463,CRIMSON INITIATIVE
464,Calypso Med Technologies Inc
465,Capital Business Systems Inc.
466,Capital Express Inc
467,Carmichael Business Systems
468,Carolina Business Furniture
469,Centimark Corporation
470,Citrix Systems Inc
471,College of American Pathologists
472,Commonwealth Medical Labs
473,Continental Fire Sprinkler Co
474,Control Services Inc
475,Craftsman Window Coverings Inc
476,Creighton Medical Labs
477,CuraScript SD /Priority Health
478,Custom Biogenic Systems
479,Cyracom International LLC
480,D&D Communications
481,DIAMOND DISTRIBUTING COMPANY
482,Dasco Label
483,EMERGENCY CARE RESEARCH INSTITUTE
484,ELECTRICAL ENGINEERING & EQUIP
485,ELECTRONIC SOUND INC
486,EMERSON NETWORK POWER
487,EMPI
488,ENTHERMICS MEDICAL SYSTEMS
489,ETHICON ENDO SURGERY
490,EXCELSIOR MEDICAL
491,Echo Electric Supply
492,Eletech Inc
493,"Esoterix Genetic Laboratories, LLC"
494,Fastsigns
495,Follett Corporation
496,Frame Service
497,Fresh Concepts LLC
498,Gambro UF
499,Gcx Corporation
500,Genedx Inc
501,General Fire And Safety Omaha
502,Genzyme Genetics
503,Glaxosmithkline
504,Gold Standard Inc A/R
505,Goodwin Tucker Group
506,Governance Institute
507,Greeley Company
508,Guerbet LLC
509,HIRE4ED
510,Hamilton Equipment Co
511,Hancock & Dana PC
512,Hay Group Inc
513,Health Promotions Now
514,Helget Gas Products Inc
515,Heritage Food Service Equip IN
516,Hirease Incorporated
517,Hms Brown Baggers
518,Hobart Sales & Service
519,Hollister-Stier Labs Llc
520,Host Coffee Service
521,Husch Blackwell LLP
522,INNFINITY SOFTWARE SYSTEMS LCC
523,Infuscience
524,Innomed Inc
525,Integra Ohio Inc
526,International Catering Inc
527,International Technidyne Corp
528,Iris International
529,J F AHERN COMPANY
530,J P Cooke Company
531,Johnson Hardware Co
532,Joint Comm On Accreditation
533,Joint Commission Resources
534,Jones Day
535,Joslyn Art Museum
536,Kennedy Krieger Institute Inc
537,Key Masters
538,Keystone Glass Co
539,Koffel Associates
540,Lab RX Interiors Inc
541,Larue Distributing Inc
542,Liberty Lighting Inc
543,Life Systems Inc
544,Lifelink Of Florida
545,Lifenet Health
546,Linweld
547,MATHESON TRI-GAS INC
548,MOLECULAR PATHOLOGY LABORATORY
549,Mager Scientific Inc
550,Malibu Galleries
551,Maxim Healthcare Services Inc
552,Mayo Medical Laboratories
553,McKesson Pharmacy Systems & Plasma
554,McMaster-Carr Supply Company
555,Medical Anesthesia Assoc PC
556,Medigrafix Inc
557,Medtox Laboratories Inc
558,Metropolitan Utilities District
559,Mid America Council Bsa
560,Miller Electric Company Corp
561,"MiraVista Diagnostics, LLC"
562,Muth Electric Inc
563,NCVO-Neb Credentials Verific
564,NEVERS INDUSTRIES INC
565,NMC EXCHANGE LLC
566,National League For Nursing
567,Ncs Pearson
568,Nestle Usa
569,Nms Labs
570,Nuaire
571,OFFICE INTERIORS AND DESIGN
572,"OFS Brands, Inc."
573,OMAHA NEON SIGN CO
574,OMAHA@WORKSTAFFING
575,Onnen Company Inc
576,PERKINELMER GENETICS INC
577,PHARMEDIUM SERVICES LLC
578,PHILIPS RESPIRONICS INC
579,POSITIVE CONCEPTS
580,PRATT AUDIO VISUAL & VIDEO
581,PROVATION MEDICAL INC
582,Paragard Direct
583,Patterson Dental Supply Inc
584,Pearson Assessments
585,Pierce Communications
586,Plibrico Company LLC
587,Podany Promotions
588,Prevention Genetics LLC
589,Prometheus
590,QUADRAMED CORPORATION
591,Quest Software
592,RAI AMES OMAHA
593,RAY MARTIN COMPANY
594,RENAL ADVANTAGE INC
595,RURAL METRO MEDICAL SRV INC
596,Renze Display Company
597,SAFE CHECK EAST INC
598,SCOTTCARE CORP
599,SENTRIXX
600,EWT Holdings III Corp
601,SMITH MEDICAL
602,SMITHS MEDICAL ASD INC
603,SWISSLOG/TRANSLOGIC CORP
604,Scriptpro Usa Inc
605,Security Equipment Inc
606,Shelton-Dehaan Co Inc
607,Simplex Grinnell Lp
608,Stericycle Inc
609,SuperDimension Inc
610,Swisslog Healthcare Solutions INC
611,Synovis Micro Comp Alliance
612,"Sysmex America, Inc."
613,TALECRIS BIOTHERAPEUTICS INC
614,TALX UC EXPRESS
615,TERARECON INC
616,TRANSMOTION
617,TRUVEN HEALTH ANALYTICS INC
618,Tech Medical Services Inc
619,Tessiers Inc
620,Thompson Surgical Instruments
621,Tisco Surgical Instruments
622,Tosoh Bioscience Inc
623,UNIVERSAL BACKGROUND SCREENING
624,UNIWEB SYSTEMS
625,Ultra Air Llc
626,VERATHON MEDICAL
627,VISION-SCIENCES INC
628,Vantage Outsourcing
629,Verathon Inc
630,Voss Lighting
631,WALGREENS INFUSION & RESP
632,WESTROCK SOLUTIONS LLC
633,Xltek Inc.
634,ZYNX HEALTH INC
635,iRhythm Technologies Inc
636,M&M Staffing Inc
637,ECHO GROUP INC
638,COMMUNITY BLOOD CENTER - KANSAS
639,"PHYSICIAN'S REFERENCE LAB, LLC - KANSAS"
640,"HARMON CONSTRUCTION, INC."
641,"JOHNSON COUNTY, KS COUNTY TREASURER"
642,SOUTHWEST KANSAS EMERGENCY Physicians
643,LOCKTON COMPANIES
644,"INFOR (US), INC."
645,TRANSLOGIC CORPORATION
646,BE SMITH
647,MERCK & CO INC
648,POLSINELLI PC
649,STATE STREET GLOBAL ADVISOR
650,BRYAN CAVE LLP
651,"HELP SYSTEMS, LLC"
652,ONCOLOGY SUPPLY COMPANY
653,GE MEDICAL SYSTEMS INFORMATION TECHNOLOGIES
654,GE MEDICAL OEC
655,CAREERBUILDER
656,KEY SURGICAL
657,STERIS CORP
658,SIR SPEEDY
659,THE HOME DEPOT PRO
660,KRAMER & FRANK PC
661,"HEALTHSTREAM, INC"
662,HRS/ERASE INC
663,SHARED MEDICAL SERVICES
664,BAIRD KURTZ AND DOBSON
665,"EDCO GROUP, INC"
666,"EDCO HEALTH INFORMATION SOLUTIONS, INC."
667,HOSPITAL LINEN SERVICES
668,ANALOGIC CORPORATION
669,BIOTRONIK
670,USA MOBILITY WIRELESS
671,Tri Dim Filter Corporation
672,Airgas USA LLC.
673,PICIS
674,BLUE BELL BIOMED
675,THE BRICKMAN GROUP
676,DATAMAX
677,JE Dunn Construction Company
678,EVERGY KANSAS CENTRAL
679,SYSCO
680,EXECUTIVE HEALTH RESOURCES INC
681,UNUM LIFE INSURANCE
682,CITYWIDE MAINTENANCE CO
683,SUTURE EXPRESS
684,MCCOWN GORDON CONSTRUCTION
685,DIVERSIFIED CLINICAL SERVICES
686,ACI BOLAND INC
687,IPC THE HOSPITALIST COMPANY
688,HOCKENBERGS KANSAS CITY
689,ENTERPRISE COMMUNICATIONS
690,TOWNE PARK LTD
691,TERUMO MEDICAL CORPORATION
692,FENWAL
693,FRESENIUS KABI USA LLC
694,SPANGLER GRAPHICS
695,KC PRESORT LLC
696,REINHART FOODSERVICE LLC
697,VERTOS MEDICAL INC
698,MIT EQUITY LLC
699,"TRI-STAR ASSOCIATES, INC"
700,NEWCLIENTS
701,AGENDA USA
702,SEMPERMED USA
703,HOSPIRA WORLDWIDE
704,TEI BIOSCIENCES
705,TALYST INC
706,PRAXAIR
707,Mcgill Asbestos Abatement Co
708,Barnaby Printing Service
709,Medical Outsourcing Solutions Inc.  (Inactive)
710,DJO Global
711,"VPNA, LLC"
712,MCKESSON RELAYHEALTH
713,ATMOS ENERGY
714,MIDWEST COATING INC
715,ALL SYSTEMS INC
716,ULTRA CLEAN SYSTEMS
717,DEFFENBAUGH DISPOSAL SERVICE
718,PREMIER PLASTIC SURGERY
719,UHS SURGICAL SERVICES
720,PRECISION LENS
721,"Spiration, Inc."
722,ARTHROSURFACE INC
723,RESPIRONICS
724,Jubilat HollisterStier LLC
725,CARDINAL HEALTH 411
726,ALS AFFILIATES INC
727,SIEMENS MEDICAL SOLUTIONS
728,STM Suburban Publications
729,WDKB-FM
730,SWISSRAY INTERNATIONAL
731,Jubilant HollisterStier LLC
733,LIFE TECHNOLOGIES CORPORATION
734,Castle PrinTech
735,MASIMO CORPORATION
736,IBA Molecular
737,Metropolitan Chicago Health Care Council
738,INACTIVE - BSA Life Structures
739,DIAGNOSTIC HEALTH SERVICES
740,ADVANTAGE MEDICAL ELECTRONICS
741,CDW GOVERNMENT INC
742,BROWNS MEDICAL IMAGING
743,P1 GROUP INC
744,UNITED OFFICE PRODUCTS
745,MICROSOFT LICENSING GROUP
746,SICOIR COMPUTER TECHNOLOGIES
747,KANSAS CITY POWER AND LIGHT
748,NEUROSURGERY ASSOCIATES OF KANSAS
749,CARESTREAM HEALTH INC
750,WASTE MANAGEMENT WEST
751,CBS OUTDOOR
752,ACELL INC
754,"Rentokil North America, Inc."
755,NEBO SYSTEMS INC
756,OLATHE GOOD SAMARITAN
757,EASTERN AMBULANCE SERVICE INC
758,DIGITAL EVOLUTION GROUP
759,SURENCY LIFE AND HEALTH
760,INTEGRATED HEALTHCARE STRATEGIES
761,NIHON KOHDEN
762,EXECUTIVE FINANCIAL CONSULTANTS
763,MD SOLUTIONS INC
764,SCHEDULING.COM INC
765,OVERLAND PARK CONVENTION CENTER
766,ODELL SERVICE COMPANY INC
767,ROCHE DIAGNOSTICS CORP
768,ANGIOSCORE
769,ARIZANT HEALTHCARE INC
770,THE SSI GROUP INC
771,STANDARD TEXTILE
772,APPLETON MEDICAL SERVICES
773,BLUE CROSS BLUE SHIELD OF KC
774,PRIMAL CRITICAL CARE INC
775,ARROWHEAD CONTAINERS
776,ELEKTA INC
777,ALERE INFORMATICS INC
778,ALERE NORTH AMERICA INC
779,RTI SURGICAL
780,MIMEDX GROUP INC
781,OSIRIS THERAPEUTICS INC
782,PRACTICEMATCH CORPORATION
783,THOMAS MCGEE LC
784,LEIDOS HEALTH LLC
785,MEDIVATORS
786,STANDARD AND POORS
787,CLINICAL CHOICE
788,SEARCHAMERICA
789,CHEMTREAT INC
790,JOHNSON CONTROLS INC
791,TABEN GROUP
792,Pfizer Inc
793,OptumInsight Inc
794,XEROX CORPORATION
795,OLATHE PUBLIC SCHOOLS FOUNDATION
796,LEWIS AND CLARK INFORMATION
798,AFLAC GROUP
800,RICOH CORPORATION
801,SHI INTERNATIONAL
802,"AVANOS MEDICAL, INC."
803,"Biocomposites, Inc."
804,ASPEN MEDICAL PRODUCTS
805,SHRED IT
806,BLUE BELT TECHNOLOGIES INC
807,ONTRAC
808,SOLUTIONONE
809,McKesson Plasma and Biologics
810,BREG INC
811,AON HEWITT INVESTMENT CONSULTING INC
812,PREPAID LEGAL SERVICES INC
813,DVM INSURANCE AGENCY
814,FAVORITE HEALTHCARE STAFFING INC
815,LOOP 1 SYSTEMS INC
816,CULLIGAN OF GREATER KANSAS CITY
817,SIENTRA INC
818,GE CAPITAL
819,ORTHO CLINICAL DIAGNOSTICS
820,CONTINUITY OF OPERATION PLANNING LLC
821,UNIFIED IT CONSULTANTS
822,BLOOD SYSTEMS INC
823,TWO RIVERS PSYCHIATRIC HOSPITAL
824,Waters Medical Systems LLC
825,PAYNE AND BROCKWAY PA
826,TERRACON CONSULTANTS INC
827,HOSPICE MANAGEMENT PARTNERS LLC
828,FDSI LOGISTICS
829,HEALTHCARE SOURCE
830,GENZYME CORPORATION
831,CASCADE HEALTH SERVICES
832,MEURER MEDICAL LLC
833,ePlus Technology Inc
834,SOUND PRODUCTS INC
835,SIRIUS COMPUTER SOLUTIONS INC
836,INTEGRAL SOLUTIONS GROUP
837,"Hubbard, Ruzicka, Kreamer and Kincaid LC"
838,DIAMOND HEALTHCARE COMMUNICATIONS
839,Healthcare Consulting Services Inc
840,SOFTMART INC
841,DeMint Anesthesia Services LLC
842,NO KC ELECTRIC CO INC
843,Strickland Construction Co
844,TRUE NORTH OUTDOOR LLC
845,C and C Sales Inc
846,TRACT MANAGER INC
847,Allen Medical Systems
848,VOICE PRODUCTS INC
851,MEDASSURE
852,LEONARD BROTHERS COMMERCIAL FLOORS
853,HMN ARCHITECTS INC
854,CARSTENS HEALTH
855,DMS Health Technologies
856,LABORATORY CORPORATION OF AMERICA
857,RR DONNELLEY
860,MEDICAL CONSULTANTS NETWORK
861,ARBOR LINKS
862,AMERICAN MEDICAL ASSOCIATION
863,LEVY RESTAURANTS
864,CHAMPIONS RUN OMAHA
865,PAPILLION SANITATION
866,AKSARBEN THEATERS LLC
867,PROVIDENT LIFE AND ACCIDENT INSURANCE COMPANY
868,INNOMED TECHNOLOGIES
869,RONNOCO COFFEE LLC
870,GOOD SAMARITAN SOCIETY - OLATHE
871,BICKMORE
872,Aladdin Temp Rite
873,ALCO SALES AND SERVICE
874,ALSCO AMERICAN LINEN
875,AMO SALES
876,ASD SPECIALTY HEALTHCARE
877,BD BIOSCIENCES
878,BEEKLEY CORPORATION
879,CINTAS CORPORATION
880,CLARIENT DIAGNOSTICS
881,CLINICAL REFERENCE LABORATORY
882,CONE INSTRUMENTS
883,DATASPAN INC
884,DFINE INC
885,DORNIER MEDTECH AMERICA INC
886,CHANGE HEALTHCARE SOLUTIONS LLC
887,ERBE USA INC
888,G&K SERVICES INC
889,INPRO CORPORATION
890,LANX LLC
891,LEXION MEDICAL LLC
892,LUMEDX CORPORATION
893,MVAP MEDICAL SUPPLIES INC
894,PEVCO SYSTEMS INTERNATIONAL
895,POLY SCIENTIFIC R AND D CORP
896,POSITIVE PROMOTIONS
897,QIAGEN INC
898,SEBIA ELECTROPHORESIS
899,SHAMROCK SCIENTIFIC
900,SURGICAL PRINCIPALS INC
901,ULRICH USA MEDICAL INC
902,VITAL SIGNS INC
903,IMMUCOR GTI DIAGNOSTIC
904,DELTA DENTAL OF KANSAS
905,Enclara pharmacia
906,GREAT PLAINS DEVELOPMENT INC
907,PIPER JAFFRAY KANSAS CITY
908,Color Art Integrated Interiors
909,CROTHALL HEALTHCARE INC
910,CAYENNE MEDICAL
911,MICROLINE SURGICAL INC
912,CCH INCORPORATED
913,CLIA LABORATORY PROGRAM
914,KONE INC
915,MEDIFAX INC
916,NAVILYST MEDICAL INC
917,COMP-RAY INC
918,FAIR HEALTH INC
919,AIRWATCH INC
920,AGILYSYS NV LLC
921,AMEDICA CORP
922,CADWELL LABRATORIES
923,Catholic Health Associates of the US
924,CRAWFORD DIVERSIFIED
925,DECATUR AMBULANCE SERVICE
926,FLEX STAFF
927,FRYE WILLAMSON PRESS
928,GARRATT CALLAHAN CO
929,NEXXTWORKS
930,NOVANIS IT SOLUTIONS
931,OAKLEY SERVICES
932,SCHAERER MEDICAL
933,SOLUTION MATRIX
934,THOMSON REUTERS WEST
935,TRONITECH
936,AIRMASTERS
937,CY WAKEMAN
938,DIGISONICS
939,HYLAND SOFTWARE
940,KING LAR CO
941,MAVERIK MARKETING
942,SPRINGFIELD ELECTRIC
943,SURGICAL SPECIALISTS
944,VISUAL SYSTEMS GROUP INC
945,WELLNESS COUNCIL OF AMERICA
946,FUJIFILM Medical Systems USA
947,IRON MOUNTAIN
948,RESMED
949,TALYST SYSTEMS LLC
950,SCANLAN INTERNATIONAL INC
951,FRYE WILLIAMSON PRESS
952,ATTACHMATE
953,HIGH POINT NETWORKS
954,WORLDWIDE TELECOM SOLUTIONS
955,FITBIT INC
956,CLINT PHARMACEUTICALS INC
957,CUSTOM MEDICAL SPECIALTIES INC
958,LIFENET INC.
959,XYBIX SYSTEMS INC
960,HITACHI MEDICAL SYSTEMS AMERICA INC
961,SOLARWINDS INC
962,DIAGNOSTEMPS
963,KEI MEDICAL IMAGING SERVICES
964,ANGELICA TEXTILE SERVICES INC
965,MIDAIR AIR CONDITIONING AND HEATING INC
966,HENRY SCHEIN
967,CARL ZEISS MICROSCOPY LLC.
968,SODEXO OPERATIONS LLC
969,ACI GIFT CARDS INC
970,OPTUM360 LLC
971,"HEALTHTRONICS MOBILE SOLUTIONS, LLC"
972,AMS SALES LLC
973,BRAINSELL TECHNOLOGIES LLC
974,APRIMA MEDICAL SOFTWARE INC
975,PROSTAR SERVICES INC
976,TRIAD SERVICE SOLUTIONS INC
977,REGUS CORPORATION
978,FLATIRONS MARKETING PRINT AND MAIL
979,UNITED CHESTER INDUSTRIES INC
980,BSC SUPPLY LLC
981,ADD STAFF INC
982,GIAMBROCCO PRODUCE COMPANY INC
983,4ALL PROMOS LLC
984,SUNBEAM FOODS INC
985,BOSTON MEDICAL PRODUCTS
986,CORTECH LABS INC
987,BANYAN INTERNATIONAL
988,AM BEST COMPANY INC
989,Coeur Inc
990,EON ENTERPRISES INC
991,MASTERCRAFT PRINTED PRODUCTS AND SERVICES INC
992,THE STEWART ORGANIZATION INC
